English,Tamil
I took it for granted that you would come,நீங்கள் வருவீர்கள் என்று சாதாரணமாக எடுத்துக் கொண்டேன்
Demand for imported cars is increasing due to lower prices,குறைந்த விலை காரணமாக இறக்குமதி செய்யப்பட்ட கார்களுக்கான தேவை அதிகரித்து வருகிறது
The school is farther than the station,பள்ளி நிலையத்தை விட தொலைவில் உள்ளது
We cannot speak too highly of his great achievements,அவருடைய மகத்தான சாதனைகளைப் பற்றி நாம் பெரிதாகப் பேச முடியாது
Ill give you a present,நான் உனக்கு ஒரு பரிசு தருகிறேன்
The telephone was ringing when I got home,வீட்டுக்கு வந்தபோது டெலிபோன் அடித்தது
Milk does not agree with me,பால் எனக்கு உடன்பாடில்லை
Dont say it in a roundabout way,அதைச் சுற்றிச் சுற்றிச் சொல்லாதீர்கள்
Kyoko had the kindness to carry my baggage for me,கியோகோ என் சாமான்களை எனக்காக எடுத்துச் செல்லும் இரக்கம் கொண்டிருந்தார்
You can wear your undershirt,நீங்கள் உங்கள் உள்ளாடையை அணியலாம்
Please go around to the side of the house,தயவுசெய்து வீட்டின் பக்கமாகச் செல்லுங்கள்
He who pays the piper calls the tune,பைபருக்கு பணம் கொடுப்பவர் ட்யூனை அழைக்கிறார்
Have you finished it,முடித்து விட்டீர்களா
How long are you going to stay here,நீங்கள் எவ்வளவு காலம் இங்கே இருக்கப் போகிறீர்கள்
All you have to do is wait on any customers that come to the shop,கடைக்கு வரும் வாடிக்கையாளர்களுக்காக நீங்கள் காத்திருக்க வேண்டியதுதான்
We have experienced many changes over the last decade,கடந்த பத்தாண்டுகளில் பல மாற்றங்களைச் சந்தித்துள்ளோம்
The sightseeing bus ran through a long tunnel,சுற்றுலா பேருந்து நீண்ட சுரங்கப்பாதை வழியாக ஓடியது
The bridge is made of stone,பாலம் கல்லால் ஆனது
You must read this book also,இந்த புத்தகத்தையும் நீங்கள் படிக்க வேண்டும்
Youll miss the train if you dont hurry,நீங்கள் அவசரப்படாவிட்டால் ரயிலைத் தவறவிடுவீர்கள்
The opening ceremony took place on schedule,திட்டமிட்டபடி திறப்பு விழா நடந்தது
I wish I could break the habit of smoking,நான் புகைபிடிக்கும் பழக்கத்தை முறித்துக் கொள்ள விரும்புகிறேன்
A swarm of mosquitoes followed him,கொசுக் கூட்டம் அவரைப் பின்தொடர்ந்தது
Id be unhappy but I wouldnt kill myself,நான் மகிழ்ச்சியற்றவனாக இருப்பேன் ஆனால் நான் என்னைக் கொல்ல மாட்டேன்
Your conduct is perfectly legal,உங்கள் நடத்தை முற்றிலும் சட்டபூர்வமானது
He took his daughter with him whenever he went abroad,வெளியூர் செல்லும்போதெல்லாம் மகளையும் அழைத்துச் சென்றார்
When you send a telegram brevity is essential because you will be charged for every word,நீங்கள் ஒரு தந்தி அனுப்பும்போது ஒவ்வொரு வார்த்தைக்கும் கட்டணம் விதிக்கப்படும் என்பதால் சுருக்கம் அவசியம்
Where should I go to be admitted into the emergency room,அவசர அறையில் அனுமதிக்க நான் எங்கு செல்ல வேண்டும்
There is a book on dancing on the desk,மேசையில் நடனம் பற்றிய புத்தகம் உள்ளது
Did you enjoy yourself,நீங்கள் மகிழ்ந்தீர்களா
His stock with the students has soared,மாணவர்களிடம் அவரது பங்கு உயர்ந்துள்ளது
Walk fast so as to be in time,சரியான நேரத்தில் இருக்க வேகமாக நடக்கவும்
Do you like summer,நீங்கள் கோடையை விரும்புகிறீர்களா
The flowers brightened the room,பூக்கள் அறையை பிரகாசமாக்கின
What do you like,உங்களுக்கு என்ன பிடிக்கும்
Well the night is quite long isnt it,சரி இரவு மிக நீண்டது இல்லையா
Girls are more likely than boys to be malnourished suffer poverty face violence and be refused an education according to a new report,ஒரு புதிய அறிக்கையின்படி ஆண்களை விட பெண் குழந்தைகள் ஊட்டச்சத்து குறைபாடு வறுமை வன்முறையை எதிர்கொள்வது மற்றும் கல்வி மறுக்கப்படுவதற்கான வாய்ப்புகள் அதிகம்
What time will the bus pick us up,எத்தனை மணிக்கு எங்களை பஸ் ஏற்றிச் செல்லும்
I will come on Monday unless you write to the contrary,நீங்கள் எதிர்மாறாக எழுதாவிட்டால் நான் திங்கட்கிழமை வருவேன்
I hope hell be able to come Id like to see him,அவர் வருவார் என்று நம்புகிறேன் நான் அவரைப் பார்க்க விரும்புகிறேன்
It is said that smoking is bad for your health,புகைபிடிப்பது உடல் நலத்திற்கு கேடு என்று கூறப்படுகிறது
Im so glad that you succeeded,நீங்கள் வெற்றி பெற்றதில் நான் மிகவும் மகிழ்ச்சியடைகிறேன்
With a scream the spectators scattered,அலறல் சத்தத்துடன் பார்வையாளர்கள் சிதறி ஓடினர்
Science does not solve all the problems of life,வாழ்வின் அனைத்து பிரச்சனைகளையும் அறிவியல் தீர்க்காது
The audience reacted in different ways to her performance,அவரது நடிப்புக்கு பார்வையாளர்கள் வெவ்வேறு வழிகளில் பதிலளித்தனர்
It is difficult for foreigners to get used to Japanese food,வெளிநாட்டினர் ஜப்பானிய உணவைப் பழக்கப்படுத்துவது கடினம்
You should have known better,நீங்கள் நன்றாக அறிந்திருக்க வேண்டும்
I was almost run over by a car,நான் கிட்டத்தட்ட ஒரு காரால் ஓடினேன்
We are bored with the joke of professorial custom,பேராசிரியை வழக்கம் என்ற நகைச்சுவையால் சலித்துவிட்டோம்
Tell me about your daily life,உங்கள் அன்றாட வாழ்க்கையைப் பற்றி சொல்லுங்கள்
When did you finish it,நீங்கள் எப்போது முடித்தீர்கள்
Your eyes have a certain magnetism,உங்கள் கண்களுக்கு ஒரு குறிப்பிட்ட காந்தத்தன்மை உள்ளது
We should try to obtain peace,நாம் அமைதியைப் பெற முயற்சிக்க வேண்டும்
Arriving at the station I found my train gone,ஸ்டேஷனுக்கு வந்ததும் என் ரயில் போய்விட்டதைக் கண்டேன்
You must control yourself,உங்களை நீங்களே கட்டுப்படுத்திக் கொள்ள வேண்டும்
I have three daughters to marry off,எனக்கு திருமணமாகி மூன்று மகள்கள் உள்ளனர்
We carried on the discussion till late at night,இரவு வெகுநேரம் வரை விவாதம் நடத்தினோம்
How late can I check in,எவ்வளவு தாமதமாக நான் செக்இன் செய்யலாம்
Do you care for sweets,நீங்கள் இனிப்புகளில் அக்கறை காட்டுகிறீர்களா
Regular attendance is important in a foreign language class,வெளிநாட்டு மொழி வகுப்பில் வழக்கமான வருகை முக்கியமானது
A painters eyes are his most important tools,ஒரு ஓவியரின் கண்கள் அவரது மிக முக்கியமான கருவிகள்
What hours is it open,எத்தனை மணி நேரம் திறந்திருக்கும்
Do you have any questions,உங்களிடம் ஏதேனும் கேள்விகள் உள்ளதா
He will come with his wife as is often the case with foreigners,அடிக்கடி வெளிநாட்டில் வருவது போல் மனைவியுடன் வருவார்
How dare you speak like that,எவ்வளவு தைரியம் இப்படி பேசறீங்க
No matter where you may go dont forget to write to me,நீங்கள் எங்கு சென்றாலும் எனக்கு எழுத மறக்காதீர்கள்
Since its cold outside youd better put your overcoat on,வெளியில் குளிராக இருப்பதால் உங்கள் மேலங்கியை அணிவது நல்லது
Your words must correspond with your actions,உங்கள் வார்த்தைகள் உங்கள் செயல்களுடன் ஒத்துப்போக வேண்டும்
You shouldnt have eaten so much ice cream,இவ்வளவு ஐஸ்கிரீம் சாப்பிட்டிருக்கக் கூடாது
You cant eat it just because it is nutritious,சத்து நிறைந்தது என்பதற்காகச் சாப்பிட முடியாது
The church congregation was moved by the fine sermon,தேவாலயக் கூட்டத்தினர் அருமையான பிரசங்கத்தால் நெகிழ்ந்தனர்
Dont fool around on your way home,வீட்டிற்கு செல்லும் வழியில் ஏமாற்ற வேண்டாம்
Try to speak English as often as possible if you want to improve your English,உங்கள் ஆங்கிலத்தை மேம்படுத்த விரும்பினால் முடிந்தவரை அடிக்கடி ஆங்கிலம் பேச முயற்சிக்கவும்
The train was just on the point of starting when I got to the station,நான் ஸ்டேஷனுக்கு வரும்போது ரயில் கிளம்பும் தருவாயில் இருந்தது
I found that restaurant by accident,தற்செயலாக அந்த உணவகத்தைக் கண்டேன்
My computer has got to be useful for something,என் கணினி ஏதாவது பயனுள்ளதாக இருக்க வேண்டும்
I have spent a lot of money on my house,நான் என் வீட்டிற்கு நிறைய பணம் செலவழித்தேன்
Thank you very much for coming so far to see me off,என்னைப் பார்க்க இவ்வளவு தூரம் வந்ததற்கு மிக்க நன்றி
Theres no need for us to argue about this,இதைப் பற்றி நாம் விவாதம் செய்ய வேண்டிய அவசியம் இல்லை
Look carefully Im going to show you how its done,கவனமாக பாருங்கள் அதை எப்படி செய்வது என்று நான் உங்களுக்குக் காட்டப் போகிறேன்
The deterioration of corporate earnings has yet to bottom out,கார்ப்பரேட் வருவாயின் சரிவு இன்னும் கீழே இறங்கவில்லை
Dust had accumulated in the attic,மாடியில் தூசி படிந்திருந்தது
The air is soft the soil moist,காற்று மென்மையானது மண் ஈரமானது
I cant believe it,என்னால் நம்ப முடியவில்லை
I am sick of your complaint,உங்கள் புகாரால் நான் வருந்துகிறேன்
There is a cat under the desk,மேசையின் கீழ் ஒரு பூனை உள்ளது
We ran on as far as the station,ஸ்டேஷன் வரை ஓடினோம்
Dont you feel the house shaking,வீடு நடுங்குவதை உணரவில்லையா
There were already a lot of people waiting in a line in front of the movie theater,திரையரங்கின் முன் ஏராளமானோர் வரிசையில் காத்திருந்தனர்
Do you have any plans for the summer vacation,கோடை விடுமுறைக்கு உங்களிடம் ஏதேனும் திட்டங்கள் உள்ளதா
The English team beat the Brazilian team in the international football tournament,சர்வதேச கால்பந்து போட்டியில் இங்கிலாந்து அணி பிரேசில் அணியை வீழ்த்தியது
If only I had taken your advice,நான் உங்கள் ஆலோசனையை எடுத்திருந்தால்
The professor teaches English conversation,பேராசிரியர் ஆங்கில உரையாடலைக் கற்பிக்கிறார்
We have achieved all our aims,எங்களின் அனைத்து நோக்கங்களையும் அடைந்துவிட்டோம்
If it were not for air we could not live,காற்று இல்லையென்றால் நாம் வாழ முடியாது
Every little thing you say gets on my nerves,நீங்கள் சொல்லும் ஒவ்வொரு சிறு விஷயமும் என் மனதை உலுக்கும்
Im running out of ideas,எனக்கு யோசனைகள் தீர்ந்துவிட்டது
The stock market is very active,பங்குச் சந்தை மிகவும் சுறுசுறுப்பாக உள்ளது
They will never accept its too far,அவர்கள் ஒருபோதும் ஏற்றுக்கொள்ள மாட்டார்கள் அது வெகு தொலைவில் உள்ளது
To the man who only has a hammer in the toolkit every problem looks like a nail,டூல்கிட்டில் சுத்தியலை மட்டும் வைத்திருக்கும் மனிதனுக்கு ஒவ்வொரு பிரச்சனையும் ஆணி போல் தெரிகிறது
Science has made rapid progress in this century,இந்த நூற்றாண்டில் விஞ்ஞானம் வேகமாக முன்னேறியுள்ளது
You must live up to your principles,நீங்கள் உங்கள் கொள்கைகளுக்கு ஏற்ப வாழ வேண்டும்
The youth of our country is apathetic about politics,நம் நாட்டு இளைஞர்கள் அரசியலில் அக்கறையற்றவர்களாக உள்ளனர்
Im afraid not,நான் பயப்படுகிறேன் இல்லை
It was pitch black outside,வெளியில் கடும் கருப்பாக இருந்தது
Smoking is strictly prohibited,புகைபிடிப்பது கண்டிப்பாக தடைசெய்யப்பட்டுள்ளது
The meeting was adjourned until the next week,சபை அடுத்த வாரத்திற்கு ஒத்திவைக்கப்பட்டது
Pencils are sold by the dozen,பென்சில்கள் டஜன் கணக்கில் விற்கப்படுகின்றன
Smoking is responsible for many cases of lung cancer,நுரையீரல் புற்றுநோயின் பல நிகழ்வுகளுக்கு புகைபிடித்தல் காரணமாகும்
The waiter brought a new plate,பரிமாறுபவர் ஒரு புதிய தட்டு கொண்டு வந்தார்
Hasnt he looked at himself in a mirror,கண்ணாடியில் தன்னைப் பார்த்துக் கொள்ளவில்லையா
I did not miss my purse until I returned home,நான் வீடு திரும்பும் வரை எனது பணப்பையை தவறவிடவில்லை
You have a lot of nerve,உங்களுக்கு நரம்புத் தளர்ச்சி அதிகம்
You are to apologize to her for it,அதற்காக அவளிடம் மன்னிப்பு கேட்க வேண்டும்
You are too inquisitive about other peoples affairs,நீங்கள் மற்றவர்களின் விவகாரங்களில் மிகவும் ஆர்வமாக உள்ளீர்கள்
All you have to do is wash the dishes,நீங்கள் செய்ய வேண்டியது எல்லாம் பாத்திரங்களை கழுவ வேண்டும்
We agreed to refrain from smoking while we are at work,நாங்கள் வேலையில் இருக்கும்போது புகைபிடிப்பதைத் தவிர்க்க ஒப்புக்கொண்டோம்
I would rather sit reading in the library than go home,நான் வீட்டிற்குச் செல்வதை விட நூலகத்தில் உட்கார்ந்து படிப்பேன்
English is too difficult for me to understand,ஆங்கிலம் புரிந்துகொள்வது எனக்கு மிகவும் கடினம்
I cheered myself up by listening to music,நான் இசையைக் கேட்டு என்னை உற்சாகப்படுத்தினேன்
Shoes are sold in pairs,காலணிகள் ஜோடிகளாக விற்கப்படுகின்றன
Eating between meals is bad for the figure,உணவுக்கு இடையில் சாப்பிடுவது உருவத்திற்கு மோசமானது
Its lonely in the saddle since the horse died,குதிரை இறந்ததிலிருந்து அது சேணத்தில் தனிமையாக இருக்கிறது
The students are having a recess now,மாணவர்களுக்கு தற்போது விடுமுறை விடப்பட்டுள்ளது
We heard the news that you had passed the exam,நீங்கள் தேர்வில் தேர்ச்சி பெற்றதாகச் செய்தி கேட்டோம்
We shall all miss you when you go away,நீங்கள் வெளியேறும்போது நாங்கள் அனைவரும் உங்களை இழப்போம்
You do not really understand a man till you have met him,நீங்கள் ஒரு மனிதனைச் சந்திக்கும் வரை அவரைப் புரிந்து கொள்ள முடியாது
Lend me something with which to cut this,இதை வெட்டுவதற்கு எனக்கு ஏதாவது கடன் கொடுங்கள்
You must get up a little earlier,நீங்கள் சற்று முன்னதாக எழுந்திருக்க வேண்டும்
You are now among the elite,நீங்கள் இப்போது உயரடுக்கினரிடையே உள்ளீர்கள்
I accept what you say to some extent,நீங்கள் சொல்வதை ஓரளவு ஏற்றுக்கொள்கிறேன்
Ms Eichler had a notorious reputation for being austere to her students,திருமதி ஐச்லர் தனது மாணவர்களிடம் சிக்கனமாக நடந்துகொள்வதற்காக இழிவான நற்பெயரைக் கொண்டிருந்தார்
Green suits you,பச்சை உங்களுக்கு பொருந்தும்
We were all shouting at the same time,நாங்கள் அனைவரும் ஒரே நேரத்தில் கத்தினோம்
Money and I are strangers in other words I am poor,பணமும் நானும் அந்நியர்கள் வேறு வார்த்தைகளில் கூறுவதானால் நான் ஏழை
This is such a sad story,அவ்வளவு சோகமான கதை இது
Im the witchfinder general,நான் சூனியக்காரி ஜெனரல்
Beware Theres a car coming,ஜாக்கிரதை ஒரு கார் வருகிறது
If you lend someone 20 and never see that person again it was probably worth it,நீங்கள் ஒருவருக்கு 20 கடன் கொடுத்தால் அந்த நபரை மீண்டும் பார்க்கவில்லை என்றால் அது மதிப்புக்குரியதாக இருக்கலாம்
You should allow an hour to go to the airport,விமான நிலையத்திற்குச் செல்ல ஒரு மணிநேரம் அனுமதிக்க வேண்டும்
The company rewarded him with promotion,நிறுவனம் அவருக்கு பதவி உயர்வு வழங்கியது
Youre the best man for the job,நீங்கள் வேலைக்கு சிறந்த மனிதர்
The buds are just showing,மொட்டுகள் தான் காட்டுகின்றன
With every increase of scientific knowledge mans power for evil is increased in the same proportion as his power for good,விஞ்ஞான அறிவின் ஒவ்வொரு வளர்ச்சியுடனும் தீமைக்கான மனிதனின் ஆற்றல் நன்மைக்கான அவனது சக்தியின் அதே விகிதத்தில் அதிகரிக்கிறது
Not being well she stayed home,உடல்நிலை சரியில்லாமல் வீட்டில் இருந்தாள்
Does it also work without registration,அதுவும் பதிவு இல்லாமல் வேலை செய்யுமா
Dont be afraid,பயப்படாதே
What you say is quite wide of the mark,நீங்கள் சொல்வது மிகவும் அகலமானது
I didnt know he drank so much,அவர் இவ்வளவு குடித்தார் என்பது எனக்குத் தெரியாது
No doubt she loves him but she wont marry him,அவள் அவனை காதலிக்கிறாள் என்பதில் சந்தேகமில்லை ஆனால் அவள் அவனை திருமணம் செய்து கொள்ள மாட்டாள்
An emergency may occur at any time,எந்த நேரத்திலும் அவசரநிலை ஏற்படலாம்
The spirit is willing but the flesh is weak,ஆவி சித்தமானது ஆனால் மாம்சம் பலவீனமானது
What are you driving at,நீங்கள் எதில் ஓட்டுகிறீர்கள்
My happy schooldays will soon be behind me,எனது மகிழ்ச்சியான பள்ளி நாட்கள் விரைவில் எனக்கு பின்னால் வரும்
Your birthday is drawing near,உங்கள் பிறந்த நாள் நெருங்கி வருகிறது
We are in the era of atomic energy,நாம் அணுசக்தி யுகத்தில் இருக்கிறோம்
We voted for the candidate,வேட்பாளருக்கு வாக்களித்தோம்
The movie starts,படம் தொடங்குகிறது
The cat burglar must have entered the mansion from the roof,பூனைக் கொள்ளையன் கூரையிலிருந்து மாளிகைக்குள் நுழைந்திருக்க வேண்டும்
I feed my cat every morning and every evening,நான் தினமும் காலையிலும் மாலையிலும் என் பூனைக்கு உணவளிக்கிறேன்
Please turn over,தயவுசெய்து திருப்பவும்
The locomotive was pulling a long line of freight cars,என்ஜின் சரக்கு கார்களின் நீண்ட வரிசையை இழுத்துக்கொண்டிருந்தது
If youre not careful youll miss a traffic sign,நீங்கள் கவனமாக இல்லாவிட்டால் நீங்கள் ஒரு போக்குவரத்து அடையாளத்தை இழக்க நேரிடும்
What have you done with your car,உங்கள் காரை என்ன செய்தீர்கள்
Our plan was fully realized,எங்கள் திட்டம் முழுமையாக நிறைவேறியது
The ice will crack beneath our weight,நமது எடைக்குக் கீழே பனிக்கட்டி வெடிக்கும்
There are several books on the desk,மேஜையில் பல புத்தகங்கள் உள்ளன
Let your hair down a little,உங்கள் தலைமுடியை சிறிது இறக்கவும்
After running up the hill I was completely out of breath,மலையேறி ஓடியதும் எனக்கு மூச்சு முற்றி விட்டது
Students should make use of the books in the library,நூலகத்தில் உள்ள புத்தகங்களை மாணவர்கள் பயன்படுத்திக் கொள்ள வேண்டும்
If we knew what we were doing it wouldnt be called research would it,நாம் என்ன செய்கிறோம் என்று தெரிந்தால் அது ஆராய்ச்சி என்று சொல்லப்படாது அல்லவா
The conference was cloaked in secrecy,மாநாடு ரகசியமாக நடத்தப்பட்டது
The landlord told me a cock and bull story about why we didnt have heat for three days,ஏன்னா மூணு நாளா சூடு இல்லன்னு வீட்டுக்காரன் ஒரு சேவல் கதையைச் சொன்னான்
Not only you but also I was involved,நீங்கள் மட்டுமல்ல நானும் இதில் ஈடுபட்டேன்
Your plan seems better than mine,உங்கள் திட்டம் என்னுடையதை விட சிறப்பாக தெரிகிறது
Try to get ahead in your company,உங்கள் நிறுவனத்தில் முன்னேற முயற்சி செய்யுங்கள்
Nothing beats a big glass of beer in summer,கோடையில் ஒரு பெரிய கிளாஸ் பீர் எதுவும் இல்லை
The fire burned brightly giving forth a comforting warmth,நெருப்பு பிரகாசமாக எரிந்தது ஆறுதல் வெப்பத்தை அளித்தது
In summer when we sweat more often it is essential to drink lots of water,கோடையில் அடிக்கடி வியர்க்கும் போது நிறைய தண்ணீர் குடிப்பது அவசியம்
I think youre right,நீங்கள் சொல்வது சரிதான் என்று நினைக்கிறேன்
We import raw materials and export the finished products,நாங்கள் மூலப்பொருட்களை இறக்குமதி செய்து முடிக்கப்பட்ட பொருட்களை ஏற்றுமதி செய்கிறோம்
Now that you are tired youd better rest,இப்போது நீங்கள் சோர்வாக இருப்பதால் நீங்கள் ஓய்வெடுப்பது நல்லது
Always keep a bucket of water handy in case of fire,நெருப்பு ஏற்பட்டால் எப்போதும் ஒரு வாளி தண்ணீரை கையில் வைத்திருக்கவும்
A burglar broke into the bank last night,நேற்றிரவு வங்கிக்குள் புகுந்த திருடன்
There were two abstentions,இரண்டு பேர் வாக்களிக்கவில்லை
It is clear what must be done,என்ன செய்ய வேண்டும் என்பது தெளிவாகிறது
I see no analogy between your problem and mine,உங்கள் பிரச்சனைக்கும் என்னுடைய பிரச்சனைக்கும் எந்த ஒப்புமையும் இல்லை
The wages will be paid in proportion to the work done,செய்த வேலைக்கு ஏற்றவாறு கூலி வழங்கப்படும்
What a man you are,என்ன மனிதன் நீ
I hope the weather clears up before we have to leave,நாங்கள் புறப்படுவதற்கு முன் வானிலை தெளிவாகிவிடும் என்று நம்புகிறேன்
Do you know what day it is,அது என்ன நாள் தெரியுமா
I had a hand in the family deciding to move to New York,நியூயார்க்கிற்குச் செல்ல முடிவெடுத்த குடும்பத்தில் எனக்கு ஒரு கை இருந்தது
The smell of cut grass summons up images of hot summer afternoons,வெட்டப்பட்ட புல்லின் வாசனை சூடான கோடை மதியங்களின் படங்களை வரவழைக்கிறது
Our company decided on flat rate pricing,எங்கள் நிறுவனம் பிளாட் ரேட் விலையை முடிவு செய்தது
I heard a cotton candy shop has just opened Lets go dudes,பருத்தி மிட்டாய் கடை திறக்கப்பட்டதாக கேள்விப்பட்டேன் வாருங்கள் தோழர்களே
How should I know,நான் எப்படி தெரிந்து கொள்ள வேண்டும்
We asked several questions of him,அவரிடம் பல கேள்விகள் கேட்டோம்
There is one thing that is certain,உறுதியாக ஒன்று இருக்கிறது
There is no hurry you have five days to think the matter over,அவசரம் இல்லை இந்த விஷயத்தை யோசிக்க உங்களுக்கு ஐந்து நாட்கள் உள்ளன
Nuclear weapons are a threat to the human race,அணு ஆயுதங்கள் மனித இனத்திற்கு அச்சுறுத்தலாக உள்ளன
You can get a loan from a bank,வங்கியில் கடன் பெறலாம்
In Europe and America they regard the dog as a member of the family,ஐரோப்பாவிலும் அமெரிக்காவிலும் நாயை குடும்பத்தில் ஒரு உறுப்பினராகவே கருதுகின்றனர்
Be sure to call home before you leave the office,நீங்கள் அலுவலகத்தை விட்டு வெளியேறும் முன் வீட்டிற்கு அழைக்கவும்
I advise you to be careful in making notes for the lecture,விரிவுரைக்கான குறிப்புகளை உருவாக்குவதில் கவனமாக இருக்குமாறு நான் உங்களுக்கு அறிவுறுத்துகிறேன்
How many cigarettes am I allowed to take back duty free,வரியின்றி எத்தனை சிகரெட்டுகளை திரும்பப் பெற எனக்கு அனுமதி உள்ளது
It is beneath my dignity to ask a favor,உதவி கேட்பது என் கண்ணியத்திற்குக் கீழானது
As a rule I prefer a comedy to a tragedy,ஒரு விதியாக நான் ஒரு சோகத்தை விட நகைச்சுவையை விரும்புகிறேன்
He spent the evening reading a book,மாலைப் பொழுதை புத்தகம் படிப்பதில் செலவிட்டார்
Shareholders voted to liquidate the companys assets,பங்குதாரர்கள் நிறுவனத்தின் சொத்துக்களை கலைக்க வாக்களித்தனர்
Though she is rich she is not happy,அவள் பணக்காரனாக இருந்தாலும் அவள் மகிழ்ச்சியாக இல்லை
Forget it Its not worth it,மறந்துவிடு அது மதிப்பு இல்லை
What youve done is profitable only to the enemy,நீங்கள் செய்தது எதிரிக்கு மட்டுமே லாபம்
I will tell her what to say at the meeting,கூட்டத்தில் என்ன சொல்ல வேண்டும் என்பதை நான் அவளிடம் கூறுவேன்
You are a doctor,நீங்கள் ஒரு மருத்துவர்
You should be respectful to your teachers,உங்கள் ஆசிரியர்களிடம் நீங்கள் மரியாதையாக இருக்க வேண்டும்
Do you have anything to declare,நீங்கள் அறிவிக்க ஏதாவது இருக்கிறதா
I guess that you cant do it,உங்களால் முடியாது என்று நினைக்கிறேன்
Dont beat around the bush tell me who is to blame,அடிக்காதே யார் குற்றம் சொல்லுங்கள்
You were kind to help me,நீங்கள் எனக்கு உதவ அன்பாக இருந்தீர்கள்
The sooner you return the happier your father will be,நீங்கள் எவ்வளவு சீக்கிரம் திரும்புகிறீர்களோ அவ்வளவு மகிழ்ச்சியாக உங்கள் தந்தை இருப்பார்
You cant master a foreign language in a short time you have to study it step by step,நீங்கள் குறுகிய காலத்தில் ஒரு வெளிநாட்டு மொழியில் தேர்ச்சி பெற முடியாது நீங்கள் அதை படிப்படியாக படிக்க வேண்டும்
Do you speak Italian,நீங்கள் இத்தாலிய மொழி பேசுகிறீர்களா
Money is not a criterion of success,பணம் வெற்றிக்கான அளவுகோல் அல்ல
Take a rest,ஓய்வு எடுங்கள்
The road tends to the south at the next village,சாலை அடுத்த கிராமத்தில் தெற்கு நோக்கி செல்கிறது
The price of stock declined by half in a month,ஒரு மாதத்தில் பங்கு விலை பாதியாக குறைந்தது
The sound became fainter and fainter until at last it disappeared,சத்தம் மங்கலாகவும் மங்கலாகவும் ஆனது கடைசியில் அது மறைந்துவிட்டது
Our city sits on an active fault,எங்கள் நகரம் செயலில் உள்ள பிழையில் அமர்ந்திருக்கிறது
There are merits and demerits to both your opinions so Im not going to decide right away which to support,உங்கள் இருவரின் கருத்துக்களிலும் நன்மைகளும் தீமைகளும் உள்ளன எனவே எதை ஆதரிக்க வேண்டும் என்பதை நான் இப்போதே தீர்மானிக்கப் போவதில்லை
Another tendency of many Japanese speakers that bothers foreigners is to make statements that are too general and too broad by using or implying words like all and every,வெளிநாட்டினரைத் தொந்தரவு செய்யும் பல ஜப்பானிய மொழி பேசுபவர்களின் மற்றொரு போக்கு என்னவென்றால் அனைத்து மற்றும் ஒவ்வொரு போன்ற சொற்களைப் பயன்படுத்தி அல்லது மறைமுகமாக மிகவும் பொதுவான மற்றும் மிகவும் பரந்த அறிக்கைகளை வெளியிடுவதாகும்
What are you talking about,என்ன பேசுகிறீர்கள்
Do you have a book written in English,ஆங்கிலத்தில் எழுதப்பட்ட புத்தகம் உங்களிடம் உள்ளதா
The boarders are now away on vacation,போர்டர்கள் இப்போது விடுமுறையில் சென்றுவிட்டனர்
The final exams are approaching,இறுதித் தேர்வுகள் நெருங்கிக் கொண்டிருக்கின்றன
Where is the bathroom,குளியலறை எங்கே
Students of English often mix up the words lie and lay,ஆங்கிலத்தில் படிக்கும் மாணவர்கள் பெரும்பாலும் பொய் மற்றும் லே என்ற வார்த்தைகளை கலக்கிறார்கள்
The cattle starved to death,கால்நடைகள் பட்டினியால் இறந்தன
You must be here till five,நீங்கள் ஐந்து வரை இங்கே இருக்க வேண்டும்
It takes years to master a foreign language,வெளிநாட்டு மொழியில் தேர்ச்சி பெற பல ஆண்டுகள் ஆகும்
We did our best only to fail,தோல்விக்கு மட்டுமே நாங்கள் எங்களால் முடிந்த அனைத்தையும் செய்தோம்
School has started and I like it so far,பள்ளி தொடங்கிவிட்டது நான் இதுவரை விரும்புகிறேன்
You should have taken a chance then,அப்போது நீங்கள் ஒரு வாய்ப்பைப் பெற்றிருக்க வேண்டும்
We actually didnt see the accident,உண்மையில் விபத்தை நாங்கள் பார்க்கவில்லை
Have you got a beard already,உங்களுக்கு ஏற்கனவே தாடி இருக்கிறதா
Do you hear any sound,ஏதேனும் சத்தம் கேட்கிறதா
You know quite a lot about sumo,சுமோ பற்றி உங்களுக்கு நிறைய தெரியும்
How long do you want it for,நீங்கள் எவ்வளவு காலத்திற்கு அதை விரும்புகிறீர்கள்
I like going to the movies,எனக்கு திரைப்படம் செல்வது பிடிக்கும்
As we were singing songs we climbed to the top,பாடல்களைப் பாடிக்கொண்டே மேலே ஏறினோம்
It is absurd to idle away the student life,மாணவர் வாழ்க்கையை சும்மா விடுவது அபத்தம்
At the foot of the hill is a beautiful lake,மலையின் அடிவாரத்தில் ஒரு அழகிய ஏரி உள்ளது
It is almost impossible to learn a foreign language in a short time,குறுகிய காலத்தில் வெளிநாட்டு மொழியைக் கற்றுக்கொள்வது கிட்டத்தட்ட சாத்தியமற்றது
